instance_id,condition,size,depth,loss,p_feasible,fidelity,conditional_fidelity,entropy,min_conditional_probability,coverage,compile_seconds,optimize_seconds
a_4_mixed_02,feasibility,4,1,-0.9999999999445395,0.9999999999722696,0.7476501354642149,0.7476501354849475,0.9114877820820427,0.022867844704282637,1.0,0.44703564466908574,0.3313470194116235
a_4_mixed_02,feasibility,4,2,-0.9999999999836502,0.9999999999918251,0.001537230278036521,0.0015372302780490878,0.8518536751290333,0.019035299407538158,1.0,0.7324722693301737,0.5188026269897819
a_4_mixed_02,feasibility,4,3,-0.9999999999959297,0.999999999997965,0.13180594680491725,0.13180594680518548,0.6865947886173684,0.0009975364561671705,1.0,1.1468041371554136,0.7641519955359399
a_4_mixed_02,feasibility,4,4,-0.9999999999945253,0.9999999999972626,0.07378944829124742,0.07378944829144941,0.8507580702530049,0.0012250974297758678,1.0,1.3188879028894007,1.028588759712875
a_4_mixed_02,feasibility,4,5,-0.9999999999955413,0.9999999999977707,0.06114850357379269,0.06114850357392901,0.6527633290356428,0.0008162034144258523,1.0,1.6313622160814703,1.237099902704358
a_4_mixed_02,feasibility,4,6,-0.9999999999981539,0.999999999999077,0.3547099245497368,0.3547099245500642,0.7404609001716158,0.0006905074918818568,1.0,2.144895243924111,1.4547938201576471
a_4_mixed_02,feasibility,4,7,-0.999999999997067,0.9999999999985334,0.14745323563432403,0.14745323563454027,0.7894420950778075,0.0003222328845518009,1.0,2.278031905181706,1.6912693046033382
a_4_mixed_02,feasibility,4,8,-0.9999999999964697,0.9999999999982349,0.6230629828514285,0.6230629828525283,0.8379275230655611,0.001469173484210623,1.0,2.8188918558880687,1.9286282300017774
a_4_mixed_02,fidelity,4,1,0.025735931394216694,0.9999999999534366,0.9742640686057833,0.9742640686511483,0.9783474859608596,0.06249875964205722,1.0,0.000554150901734829,0.3609571922570467
a_4_mixed_02,fidelity,4,2,1.0980046871722494e-10,0.9999999999443993,0.9999999998901995,0.9999999999458002,0.9999999999888045,0.09999875014020737,1.0,0.0004250090569257736,0.5497676222585142
a_4_mixed_02,lambda_0.5,4,1,0.012867965688512173,0.9999999999810831,0.9742640686423794,0.9742640686608094,0.9783474859648507,0.06249967764518468,1.0,0.00022049201652407646,0.35991197219118476
a_4_mixed_02,lambda_0.5,4,2,2.299473944589181e-10,0.9999999999685979,0.9999999995715074,0.9999999996029095,0.9999999999347006,0.09999735737083709,1.0,0.00036428356543183327,0.5383437494747341
a_4_mixed_02,lambda_1,4,1,0.025735931393959688,0.9999999999432798,0.9742640686075001,0.9742640686627606,0.9783474859619247,0.06249892357758491,1.0,0.0003512110561132431,0.35012377379462123
a_4_mixed_02,lambda_1,4,2,3.5355685046312146e-10,0.9999999998614448,0.9999999996464431,0.9999999997849983,0.9999999998921919,0.09999768889854553,1.0,0.0003307410515844822,0.5321164852939546
a_4_mixed_02,lambda_2,4,1,0.051471862651232936,0.9999999999100646,0.9742640686317305,0.9742640687193513,0.9783474859369254,0.06249970388795193,1.0,0.00038957735523581505,0.3494558287784457
a_4_mixed_02,lambda_2,4,2,5.852721640664527e-10,0.9999999998268183,0.999999999620773,0.9999999997939547,0.9999999998386315,0.09999766443241843,1.0,0.0007818010635674,0.534672892652452
a_4_mixed_03,feasibility,4,1,-0.9999999993117106,0.9999999996558554,0.04375397722935966,0.04375397724441736,0.6584577072482315,7.601377455089598e-13,0.8333333333333334,0.5056798779405653,0.35888843750581145
a_4_mixed_03,feasibility,4,2,-0.9999999999479925,0.9999999999739962,0.2772474867112162,0.27724748671842564,0.7746270073958182,0.0010504919041073033,1.0,0.8599239201284945,0.6435415246523917
a_4_mixed_03,feasibility,4,3,-0.9999999999934932,0.9999999999967467,0.08602831047541076,0.08602831047569064,0.579219251642421,0.0004100579115536687,1.0,1.2126141800545156,1.0039372080937028
a_4_mixed_03,feasibility,4,4,-0.999999999988042,0.999999999994021,0.03615659380557148,0.03615659380578766,0.6999383981597224,0.00044455227088952064,1.0,1.6232785698957741,1.303250624332577
a_4_mixed_03,feasibility,4,5,-0.9999999999924758,0.9999999999962378,0.08342567392442905,0.08342567392474291,0.6429169265845089,0.0005142567165430999,1.0,2.0127178616821766,1.5677638333290815
a_4_mixed_03,feasibility,4,6,-0.9999999999976728,0.9999999999988364,0.08115859503739405,0.08115859503748848,0.4337792693600927,0.00024465957268569974,1.0,2.5978572349995375,1.8883497398346663
