method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,AR_feas_mean,AR_feas_std,AR_feas_median,AR_feas_q25,AR_feas_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
PC-QAOA,cardinality+cardinality+cardinality,7,5,0.8056105416096225,,0.8056105416096225,0.8056105416096225,0.8056105416096225,0.9976714285714284,,0.9976714285714284,0.9976714285714284,0.9976714285714284,1.0,,1.0,1.0,1.0,0.9949,,0.9949,0.9949,0.9949
PC-QAOA,cardinality+cardinality+cardinality,8,5,0.9040455490943083,,0.9040455490943083,0.9040455490943083,0.9040455490943083,0.9355142857142853,,0.9355142857142853,0.9355142857142853,0.9355142857142853,1.0,,1.0,1.0,1.0,0.5529,,0.5529,0.5529,0.5529
PC-QAOA,cardinality+flow,5,5,0.6666663855479975,,0.6666663855479975,0.6666663855479975,0.6666663855479975,0.6678999999999999,,0.6678999999999999,0.6678999999999999,0.6678999999999999,1.0,,1.0,1.0,1.0,0.6679,,0.6679,0.6679,0.6679
PC-QAOA,cardinality+flow,8,5,0.6229014967909463,0.09403386342261023,0.6229014967909463,0.5896555055472977,0.656147488034595,0.7060786151960785,0.2254101305538114,0.7060786151960785,0.626384099264706,0.785773131127451,1.0,0.0,1.0,1.0,1.0,0.10915,0.12353155467328986,0.10915,0.065475,0.152825
PC-QAOA,cardinality+independent_set,6,5,0.9999822004015854,,0.9999822004015854,0.9999822004015854,0.9999822004015854,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,cardinality+independent_set+quadratic_knapsack,8,5,0.8275461729851951,,0.8275461729851951,0.8275461729851951,0.8275461729851951,0.9999285714285713,,0.9999285714285713,0.9999285714285713,0.9999285714285713,1.0,,1.0,1.0,1.0,0.9999,,0.9999,0.9999,0.9999
PC-QAOA,cardinality+knapsack,5,5,0.5513563111926981,0.17848616340902096,0.5832699611969099,0.5137937124369719,0.6208325599526361,0.9999446428571428,0.00011071428571430348,1.0,0.9999446428571428,1.0,1.0,0.0,1.0,1.0,1.0,0.999775,0.0004500000000000152,1.0,0.999775,1.0
PC-QAOA,cardinality+knapsack,6,5,0.7280845974032926,0.16778520222563126,0.6666595206641353,0.5999999575719551,0.7737670658012881,0.9968830303030304,0.00696975612623107,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8997999999999999,0.22405401134547892,1.0,1.0,1.0
PC-QAOA,cardinality+knapsack,7,5,0.7508900238011055,0.1261139419127692,0.7615127422620693,0.6634266825788104,0.8484676896752927,0.9223862075617283,0.09290762622323492,0.9479828282828281,0.9416330808080808,0.9577379340277776,1.0,0.0,1.0,1.0,1.0,0.63225,0.338702434298899,0.6911499999999999,0.4712,0.8643000000000001
PC-QAOA,cardinality+knapsack,8,5,0.7356112347339446,0.1793747670283462,0.7271127786739464,0.5805126528175679,0.8860301227615797,0.9645633372779,0.04258441382037146,0.9744337774294669,0.9503532692307692,0.9995091628959276,1.0,0.0,1.0,1.0,1.0,0.8293928571428572,0.21799410882754722,0.93815,0.713525,0.998225
PC-QAOA,cardinality+knapsack+cardinality,8,5,0.5529453931572107,,0.5529453931572107,0.5529453931572107,0.5529453931572107,0.995048,,0.995048,0.995048,0.995048,1.0,,1.0,1.0,1.0,0.8935,,0.8935,0.8935,0.8935
PC-QAOA,cardinality+quadratic_knapsack,5,5,0.8219259773628388,0.24314144486536896,0.8219259773628388,0.7359624951369401,0.9078894595887375,0.9966842105263158,0.004689234443658126,0.9966842105263158,0.9950263157894736,0.9983421052631579,1.0,0.0,1.0,1.0,1.0,0.9909,0.012869343417595162,0.9909,0.9863500000000001,0.99545
PC-QAOA,cardinality+quadratic_knapsack,6,5,0.6142765691302773,0.21417434492293802,0.6861989826353561,0.4419184050865474,0.7735617165186995,0.9891586004273504,0.02381055522153893,0.9990354166666666,0.996719951923077,0.9999708333333333,1.0,0.0,1.0,1.0,1.0,0.9169,0.19256740118722065,0.9961,0.98715,0.9998
PC-QAOA,cardinality+quadratic_knapsack,7,5,0.41666627153560093,,0.41666627153560093,0.41666627153560093,0.41666627153560093,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,cardinality+quadratic_knapsack,8,5,0.8181778584262882,,0.8181778584262882,0.8181778584262882,0.8181778584262882,0.9971394736842106,,0.9971394736842106,0.9971394736842106,0.9971394736842106,1.0,,1.0,1.0,1.0,0.9942,,0.9942,0.9942,0.9942
PC-QAOA,cardinality+quadratic_knapsack+cardinality,8,5,0.9973064995553635,,0.9973064995553635,0.9973064995553635,0.9973064995553635,0.9962166666666668,,0.9962166666666668,0.9962166666666668,0.9962166666666668,1.0,,1.0,1.0,1.0,0.9624,,0.9624,0.9624,0.9624
PC-QAOA,flow+assignment,7,5,0.6642818832811277,,0.6642818832811277,0.6642818832811277,0.6642818832811277,0.9556235294117646,,0.9556235294117646,0.9556235294117646,0.9556235294117646,1.0,,1.0,1.0,1.0,0.2456,,0.2456,0.2456,0.2456
PC-QAOA,flow+cardinality,7,5,0.6944418509416853,,0.6944418509416853,0.6944418509416853,0.6944418509416853,0.9547636363636364,,0.9547636363636364,0.9547636363636364,0.9547636363636364,1.0,,1.0,1.0,1.0,0.5995,,0.5995,0.5995,0.5995
PC-QAOA,flow+cardinality,8,5,0.6473338613521206,0.09595497258686624,0.6473338613521206,0.6134086554497493,0.6812590672544918,0.8094744871794872,0.029013316469808443,0.8094744871794872,0.7992167307692308,0.8197322435897436,1.0,0.0,1.0,1.0,1.0,0.4342,0.12360226535140847,0.4342,0.39049999999999996,0.4779
PC-QAOA,flow+cardinality+independent_set,8,5,0.6818427471641031,,0.6818427471641031,0.6818427471641031,0.6818427471641031,0.8526775,,0.8526775,0.8526775,0.8526775,1.0,,1.0,1.0,1.0,0.6335,,0.6335,0.6335,0.6335
PC-QAOA,flow+flow,8,5,0.7285681061957806,,0.7285681061957806,0.7285681061957806,0.7285681061957806,0.6777000000000001,,0.6777000000000001,0.6777000000000001,0.6777000000000001,1.0,,1.0,1.0,1.0,0.1973,,0.1973,0.1973,0.1973
PC-QAOA,independent_set+knapsack,5,5,0.30555136751204504,,0.30555136751204504,0.30555136751204504,0.30555136751204504,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,independent_set+quadratic_knapsack,5,5,0.8421047680535124,,0.8421047680535124,0.8421047680535124,0.8421047680535124,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,independent_set+quadratic_knapsack+knapsack,8,5,0.4670227632459847,,0.4670227632459847,0.4670227632459847,0.4670227632459847,0.9973,,0.9973,0.9973,0.9973,1.0,,1.0,1.0,1.0,0.9935,,0.9935,0.9935,0.9935
PC-QAOA,knapsack+assignment,5,5,0.4705859877809355,,0.4705859877809355,0.4705859877809355,0.4705859877809355,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,knapsack+assignment,6,5,0.799996813220117,,0.799996813220117,0.799996813220117,0.799996813220117,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,knapsack+cardinality,5,5,0.8499990273181908,,0.8499990273181908,0.8499990273181908,0.8499990273181908,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,knapsack+cardinality,6,5,0.731985054954259,0.14620925394882248,0.7539611425721204,0.6014921692444596,0.8159914520851717,0.9819378360075914,0.03838242005751911,0.9959979710144926,0.9901562499999998,0.9999190476190477,1.0,0.0,1.0,1.0,1.0,0.896875,0.22179719017929098,0.9886,0.928275,0.9996
PC-QAOA,knapsack+cardinality,7,5,0.7089199619725731,0.1302836596393499,0.6965685978506653,0.6230752276003245,0.7039086579710907,0.9866310185185184,0.020766032974151367,0.9992097222222223,0.9762837499999999,0.9999861111111111,1.0,0.0,1.0,1.0,1.0,0.8708666666666667,0.20277316061714545,0.9985999999999999,0.7562,0.99995
PC-QAOA,knapsack+cardinality,8,5,0.8047705268549881,0.1474578082941118,0.8113102371357679,0.7564183684740506,0.9000390456241063,0.9626405091379642,0.04383544026033717,0.9805912972085384,0.9317397429435484,0.9994514285714287,1.0,0.0,1.0,1.0,1.0,0.729075,0.2941733296156245,0.80495,0.464725,0.9988750000000001
PC-QAOA,knapsack+cardinality+cardinality,8,5,0.6568225609971972,0.1510984919404809,0.6568225609971972,0.6034011768581097,0.7102439451362845,0.9985320276497696,0.0019750111524292784,0.9985320276497696,0.9978337557603687,0.9992302995391705,1.0,0.0,1.0,1.0,1.0,0.9967,0.004101219330881995,0.9967,0.99525,0.9981500000000001
PC-QAOA,knapsack+flow,7,5,0.5696421190168028,0.14269002786381352,0.5696421190168028,0.5191935758617029,0.6200906621719029,0.8992800000000001,0.052919871504001265,0.8992800000000001,0.88057,0.9179900000000001,1.0,0.0,1.0,1.0,1.0,0.74995,0.0044547727214752295,0.74995,0.748375,0.751525
PC-QAOA,knapsack+flow,8,5,0.5712919196310553,0.13897896896045622,0.6376462374935848,0.502047685664255,0.6734407692666967,0.7511304257939485,0.10205750748150026,0.767939534883721,0.67203,0.82315625,1.0,0.0,1.0,1.0,1.0,0.43811999999999995,0.2924841311934718,0.3037,0.3022,0.7429
PC-QAOA,knapsack+independent_set,7,5,0.7710661358682972,,0.7710661358682972,0.7710661358682972,0.7710661358682972,0.910791304347826,,0.910791304347826,0.910791304347826,0.910791304347826,1.0,,1.0,1.0,1.0,0.3822,,0.3822,0.3822,0.3822
PC-QAOA,knapsack+knapsack,6,5,0.5993343055117577,,0.5993343055117577,0.5993343055117577,0.5993343055117577,0.9978125,,0.9978125,0.9978125,0.9978125,1.0,,1.0,1.0,1.0,0.997,,0.997,0.997,0.997
PC-QAOA,knapsack+knapsack,7,5,0.8334185645237948,0.11094083503677939,0.7777231218776269,0.7695412702215274,0.8694481375029783,0.999172077922078,0.0009612633556913028,0.9994590909090909,0.9987795454545454,0.9997081168831169,1.0,0.0,1.0,1.0,1.0,0.9985666666666667,0.0017387735140992962,0.9992,0.9979,0.9995499999999999
PC-QAOA,knapsack+knapsack,8,5,0.6529707117732247,0.10977800458690821,0.6236332293029987,0.5730135023158953,0.6944548408777877,0.9575896152885095,0.0376182039854587,0.9678429347826085,0.9327433189655171,0.988370025083612,1.0,0.0,1.0,1.0,1.0,0.77305,0.17094251372903113,0.8074,0.7563,0.8693
PC-QAOA,knapsack+quadratic_knapsack,6,5,0.7499969553432966,,0.7499969553432966,0.7499969553432966,0.7499969553432966,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,quadratic_knapsack+cardinality,5,5,0.69412282231947,,0.69412282231947,0.69412282231947,0.69412282231947,0.9993759999999999,,0.9993759999999999,0.9993759999999999,0.9993759999999999,1.0,,1.0,1.0,1.0,0.9988,,0.9988,0.9988,0.9988
PC-QAOA,quadratic_knapsack+cardinality,6,5,0.760951560655882,0.18262664090955283,0.6813415334176758,0.6574986374027668,0.9069417677619179,0.9894861111111112,0.0181835057329642,0.9999708333333335,0.9859966666666665,0.99999375,1.0,0.0,1.0,1.0,1.0,0.91705,0.1474922879339798,0.99975,0.8996999999999999,0.9999750000000001
PC-QAOA,quadratic_knapsack+cardinality,7,5,0.8007722226137185,0.15671826392185031,0.789908427330108,0.7224028233200012,0.8682778266238254,0.9955053358997584,0.005254179319406295,0.997096956521739,0.9937693236714975,0.9988329687499999,1.0,0.0,1.0,1.0,1.0,0.948775,0.09297732250393106,0.99305,0.9436749999999999,0.9981500000000001
PC-QAOA,quadratic_knapsack+cardinality,8,5,0.7042203967166035,0.21620343340889983,0.7469850010144183,0.537282648125295,0.8509513580496358,0.9584665499512671,0.09326397105165754,0.9976141081871346,0.9913090277777777,0.9979933388157893,1.0,0.0,1.0,1.0,1.0,0.8551166666666666,0.3064004465836606,0.9891,0.94145,0.9934000000000001
PC-QAOA,quadratic_knapsack+cardinality+independent_set,8,5,0.9359765870244692,,0.9359765870244692,0.9359765870244692,0.9359765870244692,0.9701736842105263,,0.9701736842105263,0.9701736842105263,0.9701736842105263,1.0,,1.0,1.0,1.0,0.8997,,0.8997,0.8997,0.8997
PC-QAOA,quadratic_knapsack+flow,6,5,0.6831873438558571,,0.6831873438558571,0.6831873438558571,0.6831873438558571,0.9692363636363636,,0.9692363636363636,0.9692363636363636,0.9692363636363636,1.0,,1.0,1.0,1.0,0.6657,,0.6657,0.6657,0.6657
