             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
        246314_370    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_371    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_372    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_373    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_374    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_375    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_376    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_377    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_378    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_379    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_380    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_381    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_382    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_383    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_384    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_385    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_387    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_388    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_389    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_391    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_393    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_394    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_395    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_396    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_397    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_398    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_399    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_400    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_402    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_403    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_404    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_405    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_406    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_407    campus experime awilkie1  R   20:47:30      1 clr0627
          246314_0    campus experime awilkie1  R   20:47:31      1 clr0621
          246314_1    campus experime awilkie1  R   20:47:31      1 clr0621
          246314_3    campus experime awilkie1  R   20:47:31      1 clr0621
          246314_4    campus experime awilkie1  R   20:47:31      1 clr0621
          246314_5    campus experime awilkie1  R   20:47:31      1 clr0621
          246314_8    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_10    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_14    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_15    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_16    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_18    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_19    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_22    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_23    campus experime awilkie1  R   20:47:31      1 clr0621
         246314_25    campus experime awilkie1  R   20:47:31      1 clr0625
         246314_28    campus experime awilkie1  R   20:47:31      1 clr0625
         246314_31    campus experime awilkie1  R   20:47:31      1 clr0625
         246314_32    campus experime awilkie1  R   20:47:31      1 clr0625
         246314_36    campus experime awilkie1  R   20:47:31      1 clr0625
         246314_43    campus experime awilkie1  R   20:47:31      1 clr0625
         246314_46    campus experime awilkie1  R   20:47:31      1 clr0625
         246314_47    campus experime awilkie1  R   20:47:31      1 clr0625
         246314_48    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_49    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_50    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_52    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_54    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_55    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_57    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_58    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_59    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_63    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_64    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_66    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_70    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_71    campus experime awilkie1  R   20:47:31      1 clr0633
         246314_72    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_73    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_75    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_76    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_77    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_78    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_79    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_81    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_82    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_83    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_84    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_85    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_86    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_87    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_88    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_89    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_90    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_91    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_92    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_93    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_95    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_96    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_97    campus experime awilkie1  R   20:47:31      1 clr0619
         246314_98    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_100    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_101    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_102    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_103    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_104    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_106    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_107    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_108    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_109    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_110    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_112    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_113    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_114    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_115    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_116    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_117    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_118    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_119    campus experime awilkie1  R   20:47:31      1 clr0619
        246314_120    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_121    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_122    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_123    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_124    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_125    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_126    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_127    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_129    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_131    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_132    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_133    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_134    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_135    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_136    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_137    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_139    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_140    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_141    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_142    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_143    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_144    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_145    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_146    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_147    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_148    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_149    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_151    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_152    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_153    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_154    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_155    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_156    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_159    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_160    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_161    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_164    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_165    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_166    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_167    campus experime awilkie1  R   20:47:31      1 clr0620
        246314_168    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_169    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_171    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_172    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_173    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_174    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_175    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_176    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_177    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_178    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_179    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_180    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_181    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_182    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_183    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_184    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_185    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_186    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_187    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_188    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_189    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_190    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_191    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_192    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_193    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_194    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_195    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_196    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_197    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_198    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_199    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_201    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_202    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_203    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_204    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_205    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_206    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_207    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_208    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_209    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_211    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_213    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_214    campus experime awilkie1  R   20:47:31      1 clr0622
        246314_216    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_217    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_218    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_220    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_221    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_222    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_225    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_227    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_228    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_229    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_230    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_231    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_232    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_235    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_237    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_238    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_239    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_240    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_241    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_242    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_243    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_244    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_245    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_246    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_247    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_248    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_249    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_250    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_252    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_254    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_255    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_257    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_259    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_260    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_263    campus experime awilkie1  R   20:47:31      1 clr0623
        246314_264    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_265    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_266    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_267    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_268    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_269    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_270    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_271    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_272    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_273    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_274    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_275    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_276    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_277    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_278    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_279    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_280    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_281    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_282    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_283    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_284    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_285    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_286    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_287    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_288    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_289    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_290    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_291    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_292    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_293    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_294    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_295    campus experime awilkie1  R   20:47:31      1 clr0624
        246314_296    campus experime awilkie1  R   20:47:31      1 clr0624
