vcg_key,constraint_type,constraints,n_x,n_layers,sp_total,sp_1q,sp_2q,sp_gates
5*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 1*x_0*x_3 + 4*x_1*x_1 + 1*x_1*x_2 + 5*x_1*x_3 + 4*x_2*x_2 + 2*x_2*x_3 + 3*x_3*x_3 <= 19,quadratic_knapsack,['5*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 1*x_0*x_3 + 4*x_1*x_1 + 1*x_1*x_2 + 5*x_1*x_3 + 4*x_2*x_2 + 2*x_2*x_3 + 3*x_3*x_3 <= 19'],4,0,23,1,19,"{'RY': 1, 'CRY': 5, 'SWAP': 2, 'CNOT': 12, 'CC_RY': 3, 'CSWAP': 0}"
3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 5*x_1*x_1 + 2*x_1*x_2 + 2*x_2*x_2 <= 8,quadratic_knapsack,['3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 5*x_1*x_1 + 2*x_1*x_2 + 2*x_2*x_2 <= 8'],3,1,23,13,10,"{'Hadamard': 3, 'CNOT': 10, 'RZ': 7, 'RX': 3}"
1*x_0*x_0 + 5*x_0*x_1 + 2*x_0*x_2 + 2*x_0*x_3 + 3*x_1*x_1 + 2*x_1*x_2 + 3*x_1*x_3 + 2*x_2*x_2 + 4*x_2*x_3 + 5*x_3*x_3 <= 13,quadratic_knapsack,['1*x_0*x_0 + 5*x_0*x_1 + 2*x_0*x_2 + 2*x_0*x_3 + 3*x_1*x_1 + 2*x_1*x_2 + 3*x_1*x_3 + 2*x_2*x_2 + 4*x_2*x_3 + 5*x_3*x_3 <= 13'],4,0,19,1,16,"{'RY': 1, 'CRY': 4, 'SWAP': 2, 'CNOT': 10, 'CC_RY': 2, 'CSWAP': 0}"
4*x_0*x_0 + 5*x_0*x_1 + 2*x_0*x_2 + 5*x_0*x_3 + 4*x_1*x_1 + 3*x_1*x_2 + 5*x_1*x_3 + 3*x_2*x_2 + 2*x_2*x_3 + 3*x_3*x_3 <= 22,quadratic_knapsack,['4*x_0*x_0 + 5*x_0*x_1 + 2*x_0*x_2 + 5*x_0*x_3 + 4*x_1*x_1 + 3*x_1*x_2 + 5*x_1*x_3 + 3*x_2*x_2 + 2*x_2*x_3 + 3*x_3*x_3 <= 22'],4,1,25,15,10,"{'Hadamard': 4, 'CNOT': 10, 'RZ': 7, 'RX': 4}"
1*x_0 + 4*x_1 + 8*x_2 + 10*x_3 + 8*x_4 <= 16,knapsack,['1*x_0 + 4*x_1 + 8*x_2 + 10*x_3 + 8*x_4 <= 16'],5,3,407,113,294,"{'Hadamard': 5, 'CNOT': 294, 'RZ': 93, 'RX': 15}"
2*x_0*x_0 + 5*x_0*x_1 + 4*x_0*x_2 + 2*x_0*x_3 + 4*x_0*x_4 + 5*x_1*x_1 + 5*x_1*x_2 + 2*x_1*x_3 + 1*x_1*x_4 + 4*x_2*x_2 + 1*x_2*x_3 + 2*x_2*x_4 + 5*x_3*x_3 + 4*x_3*x_4 + 2*x_4*x_4 <= 29,quadratic_knapsack,['2*x_0*x_0 + 5*x_0*x_1 + 4*x_0*x_2 + 2*x_0*x_3 + 4*x_0*x_4 + 5*x_1*x_1 + 5*x_1*x_2 + 2*x_1*x_3 + 1*x_1*x_4 + 4*x_2*x_2 + 1*x_2*x_3 + 2*x_2*x_4 + 5*x_3*x_3 + 4*x_3*x_4 + 2*x_4*x_4 <= 29'],5,0,32,1,26,"{'RY': 1, 'CRY': 6, 'SWAP': 2, 'CNOT': 18, 'CC_RY': 5, 'CSWAP': 0}"
5*x_0*x_0 + 2*x_0*x_1 + 2*x_0*x_2 + 3*x_0*x_3 + 1*x_0*x_4 + 1*x_1*x_1 + 4*x_1*x_2 + 4*x_1*x_3 + 3*x_1*x_4 + 1*x_2*x_2 + 3*x_2*x_3 + 1*x_2*x_4 + 5*x_3*x_3 + 1*x_3*x_4 + 5*x_4*x_4 <= 23,quadratic_knapsack,['5*x_0*x_0 + 2*x_0*x_1 + 2*x_0*x_2 + 3*x_0*x_3 + 1*x_0*x_4 + 1*x_1*x_1 + 4*x_1*x_2 + 4*x_1*x_3 + 3*x_1*x_4 + 1*x_2*x_2 + 3*x_2*x_3 + 1*x_2*x_4 + 5*x_3*x_3 + 1*x_3*x_4 + 5*x_4*x_4 <= 23'],5,0,32,1,26,"{'RY': 1, 'CRY': 6, 'SWAP': 2, 'CNOT': 18, 'CC_RY': 5, 'CSWAP': 0}"
2*x_0*x_0 + 4*x_0*x_1 + 5*x_0*x_2 + 1*x_0*x_3 + 4*x_0*x_4 + 2*x_1*x_1 + 4*x_1*x_2 + 4*x_1*x_3 + 1*x_1*x_4 + 2*x_2*x_2 + 3*x_2*x_3 + 3*x_2*x_4 + 3*x_3*x_3 + 2*x_3*x_4 + 1*x_4*x_4 <= 19,quadratic_knapsack,['2*x_0*x_0 + 4*x_0*x_1 + 5*x_0*x_2 + 1*x_0*x_3 + 4*x_0*x_4 + 2*x_1*x_1 + 4*x_1*x_2 + 4*x_1*x_3 + 1*x_1*x_4 + 2*x_2*x_2 + 3*x_2*x_3 + 3*x_2*x_4 + 3*x_3*x_3 + 2*x_3*x_4 + 1*x_4*x_4 <= 19'],5,0,32,1,26,"{'RY': 1, 'CRY': 6, 'SWAP': 2, 'CNOT': 18, 'CC_RY': 5, 'CSWAP': 0}"
1*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 2*x_0*x_3 + 1*x_1*x_1 + 2*x_1*x_2 + 3*x_1*x_3 + 2*x_2*x_2 + 3*x_2*x_3 + 3*x_3*x_3 <= 7,quadratic_knapsack,['1*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 2*x_0*x_3 + 1*x_1*x_1 + 2*x_1*x_2 + 3*x_1*x_3 + 2*x_2*x_2 + 3*x_2*x_3 + 3*x_3*x_3 <= 7'],4,4,128,56,72,"{'Hadamard': 4, 'CNOT': 72, 'RZ': 36, 'RX': 16}"
4*x_0*x_0 + 3*x_0*x_1 + 3*x_0*x_2 + 2*x_0*x_3 + 2*x_0*x_4 + 2*x_1*x_1 + 3*x_1*x_2 + 2*x_1*x_3 + 3*x_1*x_4 + 3*x_2*x_2 + 5*x_2*x_3 + 4*x_2*x_4 + 3*x_3*x_3 + 5*x_3*x_4 + 1*x_4*x_4 <= 22,quadratic_knapsack,['4*x_0*x_0 + 3*x_0*x_1 + 3*x_0*x_2 + 2*x_0*x_3 + 2*x_0*x_4 + 2*x_1*x_1 + 3*x_1*x_2 + 2*x_1*x_3 + 3*x_1*x_4 + 3*x_2*x_2 + 5*x_2*x_3 + 4*x_2*x_4 + 3*x_3*x_3 + 5*x_3*x_4 + 1*x_4*x_4 <= 22'],5,0,32,1,26,"{'RY': 1, 'CRY': 6, 'SWAP': 2, 'CNOT': 18, 'CC_RY': 5, 'CSWAP': 0}"
