method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
HybridQAOA,knapsack+flow,6,1,0.7500318169227678,,0.7500318169227678,0.7500318169227678,0.7500318169227678,0.968,,0.968,0.968,0.968,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+flow,7,1,0.648664935193338,,0.648664935193338,0.648664935193338,0.648664935193338,0.764,,0.764,0.764,0.764,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+flow,8,1,0.7274987005795385,,0.7274987005795385,0.7274987005795385,0.7274987005795385,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+flow,9,1,0.569300817044703,,0.569300817044703,0.569300817044703,0.569300817044703,0.791,,0.791,0.791,0.791,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+independent_set,5,1,0.7191390985189131,,0.7191390985189131,0.7191390985189131,0.7191390985189131,0.634,,0.634,0.634,0.634,0.274,,0.274,0.274,0.274
HybridQAOA,knapsack+independent_set,5,2,0.7927847975166896,,0.7927847975166896,0.7927847975166896,0.7927847975166896,0.9003,,0.9003,0.9003,0.9003,0.1107,,0.1107,0.1107,0.1107
HybridQAOA,knapsack+knapsack,4,1,0.7162155144889757,,0.7162155144889757,0.7162155144889757,0.7162155144889757,0.402,,0.402,0.402,0.402,0.172,,0.172,0.172,0.172
HybridQAOA,knapsack+knapsack,4,2,0.8266021785805784,,0.8266021785805784,0.8266021785805784,0.8266021785805784,0.6751,,0.6751,0.6751,0.6751,0.2769,,0.2769,0.2769,0.2769
HybridQAOA,knapsack+knapsack,4,3,0.931405716921383,,0.931405716921383,0.931405716921383,0.931405716921383,0.9078,,0.9078,0.9078,0.9078,0.375,,0.375,0.375,0.375
HybridQAOA,knapsack+knapsack,5,1,0.7044040385710226,,0.7044040385710226,0.7044040385710226,0.7044040385710226,0.691,,0.691,0.691,0.691,0.034,,0.034,0.034,0.034
HybridQAOA,knapsack+knapsack,5,2,0.7985005370528174,,0.7985005370528174,0.7985005370528174,0.7985005370528174,0.9152,,0.9152,0.9152,0.9152,0.0354,,0.0354,0.0354,0.0354
HybridQAOA,knapsack+knapsack+cardinality,7,1,0.5667956500398533,,0.5667956500398533,0.5667956500398533,0.5667956500398533,0.048,,0.048,0.048,0.048,0.016,,0.016,0.016,0.016
HybridQAOA,knapsack+knapsack+cardinality,7,2,0.5434219891442722,,0.5434219891442722,0.5434219891442722,0.5434219891442722,0.0558,,0.0558,0.0558,0.0558,0.0142,,0.0142,0.0142,0.0142
HybridQAOA,knapsack+knapsack+cardinality,7,3,0.6552220433733987,,0.6552220433733987,0.6552220433733987,0.6552220433733987,0.177,,0.177,0.177,0.177,0.0317,,0.0317,0.0317,0.0317
HybridQAOA,knapsack+knapsack+cardinality,7,4,0.7156728786840593,,0.7156728786840593,0.7156728786840593,0.7156728786840593,0.1925,,0.1925,0.1925,0.1925,0.037,,0.037,0.037,0.037
HybridQAOA,knapsack+knapsack+cardinality,7,5,0.7385705009717106,,0.7385705009717106,0.7385705009717106,0.7385705009717106,0.1223,,0.1223,0.1223,0.1223,0.0241,,0.0241,0.0241,0.0241
HybridQAOA,quadratic_knapsack+cardinality,6,1,0.880730669601029,,0.880730669601029,0.880730669601029,0.880730669601029,1.0,,1.0,1.0,1.0,0.043,,0.043,0.043,0.043
HybridQAOA,quadratic_knapsack+cardinality,7,1,0.7670210973814867,,0.7670210973814867,0.7670210973814867,0.7670210973814867,0.723,,0.723,0.723,0.723,0.003,,0.003,0.003,0.003
HybridQAOA,quadratic_knapsack+cardinality,7,2,0.8226437797943006,,0.8226437797943006,0.8226437797943006,0.8226437797943006,0.8163,,0.8163,0.8163,0.8163,0.0037,,0.0037,0.0037,0.0037
PenaltyQAOA,assignment+assignment+cardinality,10,1,0.9002499567554092,,0.9002499567554092,0.9002499567554092,0.9002499567554092,0.1639,,0.1639,0.1639,0.1639,0.0104,,0.0104,0.0104,0.0104
PenaltyQAOA,assignment+assignment+cardinality,10,2,0.9517142539443306,,0.9517142539443306,0.9517142539443306,0.9517142539443306,0.4787,,0.4787,0.4787,0.4787,0.0049,,0.0049,0.0049,0.0049
PenaltyQAOA,assignment+assignment+cardinality,10,3,0.9574764146085697,,0.9574764146085697,0.9574764146085697,0.9574764146085697,0.5208,,0.5208,0.5208,0.5208,0.0108,,0.0108,0.0108,0.0108
PenaltyQAOA,assignment+assignment+cardinality,10,4,0.9613390703864241,,0.9613390703864241,0.9613390703864241,0.9613390703864241,0.553,,0.553,0.553,0.553,0.0007,,0.0007,0.0007,0.0007
PenaltyQAOA,assignment+assignment+cardinality,10,5,0.9628101008894318,,0.9628101008894318,0.9628101008894318,0.9628101008894318,0.6256,,0.6256,0.6256,0.6256,0.0001,,0.0001,0.0001,0.0001
