method,constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75,num_gamma_mean,num_gamma_std,num_gamma_median,num_gamma_q25,num_gamma_q75,num_beta_mean,num_beta_std,num_beta_median,num_beta_q25,num_beta_q75
HybridQAOA,cardinality+flow,6,126562500.0,,126562500.0,126562500.0,126562500.0,2975.074243068695,,2975.074243068695,2975.074243068695,2975.074243068695,19.0,,19.0,19.0,19.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+flow,7,1225000000.0,0.0,1225000000.0,1225000000.0,1225000000.0,5808.480662298202,1599.875560149177,6121.856006145477,4631.178303003311,6972.520300865173,25.0,0.0,25.0,25.0,25.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,cardinality+flow,8,918847657.0,,918847657.0,918847657.0,918847657.0,3338.3810312747955,,3338.3810312747955,3338.3810312747955,3338.3810312747955,36.0,,36.0,36.0,36.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+independent_set,6,791015625.0,,791015625.0,791015625.0,791015625.0,4774.627559423447,,4774.627559423447,4774.627559423447,4774.627559423447,18.0,,18.0,18.0,18.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+independent_set,7,6806250000.0,,6806250000.0,6806250000.0,6806250000.0,4459.186599969864,,4459.186599969864,4459.186599969864,4459.186599969864,27.0,,27.0,27.0,27.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+knapsack,4,1575097657.0,,1575097657.0,1575097657.0,1575097657.0,2715.6207790374756,,2715.6207790374756,2715.6207790374756,2715.6207790374756,9.0,,9.0,9.0,9.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+knapsack,5,1073095703.5,1036836749.4224054,1073095703.5,706518555.25,1439672851.75,3941.948133468628,2325.121469995045,3941.948133468628,3119.893554210663,4764.002712726593,16.0,1.4142135623730951,16.0,15.5,16.5,1.0,0.0,1.0,1.0,1.0
HybridQAOA,cardinality+knapsack,6,5578222657.0,0.0,5578222657.0,5578222657.0,5578222657.0,7774.465924215317,2504.555939890408,8600.62229847908,5247.839172124863,10015.832467079163,21.0,0.0,21.0,21.0,21.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,cardinality+knapsack,7,862890625.0,,862890625.0,862890625.0,862890625.0,1984.4369714260101,,1984.4369714260101,1984.4369714260101,1984.4369714260101,26.0,,26.0,26.0,26.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+knapsack+knapsack,6,4987890625.0,0.0,4987890625.0,4987890625.0,4987890625.0,1933.4524260759354,1463.8656480494685,1933.4524260759354,1415.8977628350258,2451.007089316845,22.0,0.0,22.0,22.0,22.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,flow+cardinality,6,862890625.0,,862890625.0,862890625.0,862890625.0,2831.489104747772,,2831.489104747772,2831.489104747772,2831.489104747772,18.0,,18.0,18.0,18.0,1.0,,1.0,1.0,1.0
HybridQAOA,flow+cardinality,7,549316407.0,,549316407.0,549316407.0,549316407.0,3435.2567760944366,,3435.2567760944366,3435.2567760944366,3435.2567760944366,24.0,,24.0,24.0,24.0,1.0,,1.0,1.0,1.0
HybridQAOA,flow+cardinality,8,1314062500.0,,1314062500.0,1314062500.0,1314062500.0,3880.0741171836853,,3880.0741171836853,3880.0741171836853,3880.0741171836853,33.0,,33.0,33.0,33.0,1.0,,1.0,1.0,1.0
HybridQAOA,flow+cardinality,9,1246972657.0,,1246972657.0,1246972657.0,1246972657.0,4418.360834121704,,4418.360834121704,4418.360834121704,4418.360834121704,38.0,,38.0,38.0,38.0,1.0,,1.0,1.0,1.0
HybridQAOA,flow+cardinality+cardinality,9,625000000.0,,625000000.0,625000000.0,625000000.0,5098.536787986755,,5098.536787986755,5098.536787986755,5098.536787986755,40.0,,40.0,40.0,40.0,1.0,,1.0,1.0,1.0
HybridQAOA,flow+flow,10,826562500.0,,826562500.0,826562500.0,826562500.0,3209.885062456131,,3209.885062456131,3209.885062456131,3209.885062456131,51.0,,51.0,51.0,51.0,1.0,,1.0,1.0,1.0
HybridQAOA,flow+knapsack,7,579003907.0,,579003907.0,579003907.0,579003907.0,2742.190993309021,,2742.190993309021,2742.190993309021,2742.190993309021,25.0,,25.0,25.0,25.0,1.0,,1.0,1.0,1.0
HybridQAOA,independent_set+cardinality,4,957128907.0,,957128907.0,957128907.0,957128907.0,2313.8555421829224,,2313.8555421829224,2313.8555421829224,2313.8555421829224,10.0,,10.0,10.0,10.0,1.0,,1.0,1.0,1.0
HybridQAOA,independent_set+cardinality,5,656640625.0,,656640625.0,656640625.0,656640625.0,2975.150030851364,,2975.150030851364,2975.150030851364,2975.150030851364,16.0,,16.0,16.0,16.0,1.0,,1.0,1.0,1.0
HybridQAOA,independent_set+knapsack+cardinality,7,10251562500.0,0.0,10251562500.0,10251562500.0,10251562500.0,4559.54769244194,2975.8179685123882,3257.912180662155,2441.493518590927,5274.794109582901,29.0,0.0,29.0,29.0,29.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,knapsack+cardinality,4,164160157.0,,164160157.0,164160157.0,164160157.0,443.90182638168335,,443.90182638168335,443.90182638168335,443.90182638168335,8.0,,8.0,8.0,8.0,1.0,,1.0,1.0,1.0
HybridQAOA,knapsack+cardinality,5,3867285157.0,0.0,3867285157.0,3867285157.0,3867285157.0,2001.2689337134361,788.6677500197372,2077.488658308983,1748.4887914657593,2330.2688005566597,16.0,0.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,knapsack+cardinality,6,2716503907.0,2612379854.350812,808691407.0,808691407.0,5578222657.0,8698.571870660782,6795.181969044903,5403.013025522232,3584.8134315013885,12865.479228496552,20.4,0.5477225575051664,20.0,20.0,21.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,knapsack+cardinality,7,1477441407.0,,1477441407.0,1477441407.0,1477441407.0,1910.0720191001892,,1910.0720191001892,1910.0720191001892,1910.0720191001892,27.0,,27.0,27.0,27.0,1.0,,1.0,1.0,1.0
HybridQAOA,knapsack+flow,5,656640625.0,,656640625.0,656640625.0,656640625.0,809.1403796672821,,809.1403796672821,809.1403796672821,809.1403796672821,16.0,,16.0,16.0,16.0,1.0,,1.0,1.0,1.0
HybridQAOA,knapsack+flow,6,791015625.0,,791015625.0,791015625.0,791015625.0,3746.3195366859436,,3746.3195366859436,3746.3195366859436,3746.3195366859436,18.0,,18.0,18.0,18.0,1.0,,1.0,1.0,1.0
HybridQAOA,knapsack+flow,7,3164062500.0,,3164062500.0,3164062500.0,3164062500.0,2069.7224571704865,,2069.7224571704865,2069.7224571704865,2069.7224571704865,26.0,,26.0,26.0,26.0,1.0,,1.0,1.0,1.0
HybridQAOA,knapsack+flow,8,492285157.0,,492285157.0,492285157.0,492285157.0,3483.124837398529,,3483.124837398529,3483.124837398529,3483.124837398529,32.0,,32.0,32.0,32.0,1.0,,1.0,1.0,1.0
HybridQAOA,knapsack+flow,9,3164062500.0,,3164062500.0,3164062500.0,3164062500.0,2100.3023862838745,,2100.3023862838745,2100.3023862838745,2100.3023862838745,39.0,,39.0,39.0,39.0,1.0,,1.0,1.0,1.0
HybridQAOA,knapsack+independent_set,5,14250390625.0,0.0,14250390625.0,14250390625.0,14250390625.0,1834.8743118047714,1128.327247433454,1834.8743118047714,1435.950387775898,2233.798235833645,17.0,0.0,17.0,17.0,17.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,knapsack+knapsack,4,375390625.0,0.0,375390625.0,375390625.0,375390625.0,1947.782041947047,884.3355403878144,1764.0607075691223,1466.8993542194366,2336.804062485695,12.0,0.0,12.0,12.0,12.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,knapsack+knapsack,5,6400000000.0,0.0,6400000000.0,6400000000.0,6400000000.0,4095.1652512550354,844.5978402875562,4095.1652512550354,3796.5548211336136,4393.775681376457,17.0,0.0,17.0,17.0,17.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,knapsack+knapsack+cardinality,7,17972753907.0,0.0,17972753907.0,17972753907.0,17972753907.0,8625.755624341964,3715.638177001703,7230.037385940552,6802.188283443451,9912.96415424347,27.0,0.0,27.0,27.0,27.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,quadratic_knapsack+cardinality,6,2053222657.0,,2053222657.0,2053222657.0,2053222657.0,4781.60614490509,,4781.60614490509,4781.60614490509,4781.60614490509,21.0,,21.0,21.0,21.0,1.0,,1.0,1.0,1.0
HybridQAOA,quadratic_knapsack+cardinality,7,9445410157.0,0.0,9445410157.0,9445410157.0,9445410157.0,6413.745114326477,930.5021501281564,6413.745114326477,6084.762924194336,6742.727304458618,26.0,0.0,26.0,26.0,26.0,1.0,0.0,1.0,1.0,1.0
PenaltyQAOA,assignment+assignment+cardinality,10,36818348535157.0,0.0,36818348535157.0,36818348535157.0,36818348535157.0,9802.17976975441,3892.164373492922,9847.148666143417,8222.151932954788,12353.558766126633,108.0,0.0,108.0,108.0,108.0,10.0,0.0,10.0,10.0,10.0
