instance_id,constraint,family,support,status,gate_set,representation,condition,selected_depth,fidelity,n_decision,n_slack,n_allocated,gate_counts,total_gates,algo_wires,zeroed_wires,any_state_wires,total_wires,one_qubit_gates,two_qubit_gates,t_gates
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,nisq,gadget,lambda_0.5,2.0,0.9999999980609752,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,ftqc,gadget,lambda_0.5,2.0,0.9999999980609752,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,nisq,gadget,lambda_1,2.0,0.9999999994543685,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,ftqc,gadget,lambda_1,2.0,0.9999999994543685,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,nisq,gadget,lambda_2,2.0,0.9999999994055415,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,ftqc,gadget,lambda_2,2.0,0.9999999994055415,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,nisq,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'RZ': 28}",70,7,0,0,7,28,42,0
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,ftqc,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'T': 1232}",1274,7,0,0,7,1232,42,1232
a_4_quadratic_01,1*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 1*x_0*x_3 + 2*x_1*x_1 + 2*x_1*x_2 + 1*x_1*x_3 + 3*x_2*x_2 + 1*x_2*x_3 + 1*x_3*x_3 <= 7,quadratic,4,complete,nisq,gadget,feasibility,3.0,0.25186700820805347,4,0,4,"{'Hadamard': 4, 'CNOT': 48, 'RZ': 27, 'RX': 12}",91,4,0,0,4,43,48,0
a_4_quadratic_01,1*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 1*x_0*x_3 + 2*x_1*x_1 + 2*x_1*x_2 + 1*x_1*x_3 + 3*x_2*x_2 + 1*x_2*x_3 + 1*x_3*x_3 <= 7,quadratic,4,complete,ftqc,gadget,feasibility,3.0,0.25186700820805347,4,0,4,"{'Hadamard': 4, 'CNOT': 48, 'T': 1716}",1768,4,0,0,4,1720,48,1716
