method,constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75,num_gamma_mean,num_gamma_std,num_gamma_median,num_gamma_q25,num_gamma_q75,num_beta_mean,num_beta_std,num_beta_median,num_beta_q25,num_beta_q75
PenaltyQAOA,cardinality+cardinality,6,10894563635254.0,9391870180999.02,7988040625000.0,2336228417968.75,20447398828125.0,41.20756441950798,31.626979221973183,30.187883496284485,21.622077882289886,53.45288699865341,85.375,22.112402251526927,80.0,74.25,104.75,8.75,1.6602440351979153,8.0,8.0,10.25
PenaltyQAOA,cardinality+cardinality,7,28782957338867.6,35412879810687.29,17423719726562.5,7996533032226.75,37715952416992.75,47.57818021297455,38.415021690602764,35.113420486450195,20.808833479881287,63.38613373041153,102.15,20.763884243775028,99.5,88.0,116.5,9.3,1.352140091958976,9.0,8.0,10.0
PenaltyQAOA,cardinality+cardinality,8,44069062939453.5,64543704633614.734,12300124462891.0,5353439062500.0,60363187890625.0,48.64679056167603,53.16641544288529,32.2718847990036,19.04226315021515,56.98972308635712,101.5,25.262903350847974,87.0,83.0,111.0,9.0,1.428571428571429,8.0,8.0,10.0
PenaltyQAOA,cardinality+cardinality+assignment,8,22142906640625.0,0.0,22142906640625.0,22142906640625.0,22142906640625.0,52.557583236694335,34.01358248964496,42.30127167701721,31.241032123565674,66.1275143623352,93.0,0.0,93.0,93.0,93.0,10.0,0.0,10.0,10.0,10.0
PenaltyQAOA,cardinality+cardinality+cardinality,7,6911969628907.0,0.0,6911969628907.0,6911969628907.0,6911969628907.0,47.59363503456116,30.961548145040346,39.30550694465637,26.338399410247803,65.9216148853302,86.0,0.0,86.0,86.0,86.0,10.0,0.0,10.0,10.0,10.0
PenaltyQAOA,cardinality+cardinality+cardinality,8,16659152441407.0,0.0,16659152441407.0,16659152441407.0,16659152441407.0,144.66650705337526,107.54867509893589,113.49029207229614,72.81156325340271,188.52081179618835,118.0,0.0,118.0,118.0,118.0,13.0,0.0,13.0,13.0,13.0
PenaltyQAOA,cardinality+flow,5,1280433691407.0,0.0,1280433691407.0,1280433691407.0,1280433691407.0,6.740316772460938,3.2849359456449228,6.446945905685425,4.6283228397369385,8.443150520324707,34.0,0.0,34.0,34.0,34.0,5.0,0.0,5.0,5.0,5.0
PenaltyQAOA,cardinality+flow,8,54639347851562.5,46435368768046.836,54639347851562.5,10586889062500.0,98691806640625.0,77.88720993995666,63.23340700061067,58.57959234714508,31.129256427288055,91.08342975378036,122.0,24.24412872795757,122.0,99.0,145.0,10.0,1.0540925533894596,10.0,9.0,11.0
PenaltyQAOA,cardinality+independent_set,6,404416503907.0,0.0,404416503907.0,404416503907.0,404416503907.0,10.501618957519531,5.649807107328396,9.978958129882812,6.416281223297119,14.054763793945312,48.0,0.0,48.0,48.0,48.0,6.0,0.0,6.0,6.0,6.0
PenaltyQAOA,cardinality+independent_set+quadratic_knapsack,8,1901014500390624.8,0.0,1901014500390625.0,1901014500390625.0,1901014500390625.0,242.7861452102661,231.35833354359164,165.01607704162598,81.24240136146545,333.87436985969543,256.0,0.0,256.0,256.0,256.0,11.0,0.0,11.0,11.0,11.0
PenaltyQAOA,cardinality+knapsack,5,230128769848633.0,152670495033376.7,194625011376953.5,160727076440430.25,264026704785156.25,40.898493099212644,24.81275197573363,36.47087490558624,22.3837029337883,55.069133937358856,80.25,3.5075107382511823,79.0,78.5,80.75,8.5,0.5129891760425771,8.5,8.0,9.0
PenaltyQAOA,cardinality+knapsack,6,2637068357031250.0,3392552714636441.0,1521828862890625.0,527936784765625.0,1882258225000000.0,55.64751099586487,46.490214026405695,40.86580753326416,23.29502820968628,64.76780438423157,102.4,18.264263832230775,92.0,91.0,108.0,9.6,0.8164965809277259,9.0,9.0,10.0
PenaltyQAOA,cardinality+knapsack,7,1.592274321993815e+16,2.2751657191855676e+16,2978078442675781.0,1722379689941407.0,2.5775600098535156e+16,257.389820488294,255.8699730296635,179.68737852573395,92.62307298183441,324.34313267469406,168.33333333333334,25.701648053066137,159.5,151.0,201.0,13.0,1.0170952554312156,13.0,13.0,14.0
PenaltyQAOA,cardinality+knapsack,8,1.2973980049260602e+16,1.8245351634712012e+16,3951061178125000.0,1826039848535157.0,2.06213190015625e+16,228.02266109330313,209.09118581062594,157.03784835338593,77.23654162883759,334.66580379009247,171.21428571428572,24.477669715473176,174.5,161.0,191.0,12.642857142857142,1.1799743829903506,12.5,12.0,14.0
PenaltyQAOA,cardinality+knapsack+cardinality,8,181112717285157.0,0.0,181112717285157.0,181112717285157.0,181112717285157.0,66.84039463996888,45.46615303631806,58.265621185302734,33.18027067184448,90.72824883460999,122.0,0.0,122.0,122.0,122.0,12.0,0.0,12.0,12.0,12.0
PenaltyQAOA,cardinality+quadratic_knapsack,5,455506723876953.5,260229923811625.16,455506723876953.5,208630941503907.0,702382506250000.0,454.33334662914274,542.1594539764233,249.06873762607574,102.33475095033646,606.2268071174622,254.0,33.730961708462715,254.0,222.0,286.0,9.5,1.5811388300841898,9.5,8.0,11.0
PenaltyQAOA,cardinality+quadratic_knapsack,6,2647487121598307.5,2271427501256165.5,2042578375830078.5,1891869394140625.0,2216026203222657.0,517.9618789752325,614.0125611138138,253.44478166103363,96.02137964963913,661.4917625784874,272.5,27.610280444191375,284.5,236.0,291.0,10.333333333333334,1.1244411127720093,10.5,9.0,11.0
PenaltyQAOA,cardinality+quadratic_knapsack,7,3901759104003905.5,0.0,3901759104003906.0,3901759104003906.0,3901759104003906.0,658.0336695194244,653.9417698108814,392.9710123538971,167.2309548854828,1079.1632900238037,294.0,0.0,294.0,294.0,294.0,11.0,0.0,11.0,11.0,11.0
PenaltyQAOA,cardinality+quadratic_knapsack,8,7779019501562499.0,0.0,7779019501562500.0,7779019501562500.0,7779019501562500.0,576.522269153595,604.0820359621507,353.62263321876526,138.4266872406006,812.8444967269897,318.0,0.0,318.0,318.0,318.0,12.0,0.0,12.0,12.0,12.0
PenaltyQAOA,cardinality+quadratic_knapsack+cardinality,8,937469578515625.0,0.0,937469578515625.0,937469578515625.0,937469578515625.0,1209.195890045166,980.3471726016586,1122.9319143295288,386.7083218097687,1870.9339628219604,326.0,0.0,326.0,326.0,326.0,14.0,0.0,14.0,14.0,14.0
PenaltyQAOA,flow+assignment,7,514357910157.0,0.0,514357910157.0,514357910157.0,514357910157.0,28.584164428710938,16.620050947332754,25.70734739303589,16.979115962982178,38.715041399002075,62.0,0.0,62.0,62.0,62.0,7.0,0.0,7.0,7.0,7.0
PenaltyQAOA,flow+cardinality,7,127136816407.0,0.0,127136816407.0,127136816407.0,127136816407.0,26.928266620635988,15.048727434622814,25.484926462173462,16.57861614227295,34.295714378356934,64.0,0.0,64.0,64.0,64.0,7.0,0.0,7.0,7.0,7.0
PenaltyQAOA,flow+cardinality,8,32400472363282.0,11924196780285.957,32400472363282.0,21088186035157.0,43712758691407.0,61.775025153160094,45.30433486201615,48.26376163959503,26.491383016109467,93.06868493556976,124.0,1.0540925533894612,124.0,123.0,125.0,10.0,0.0,10.0,10.0,10.0
PenaltyQAOA,flow+cardinality+independent_set,8,25959025000000.0,0.0,25959025000000.0,25959025000000.0,25959025000000.0,44.60527205467224,27.27370507140144,41.338155031204224,24.79565167427063,54.13584065437317,88.0,0.0,88.0,88.0,88.0,10.0,0.0,10.0,10.0,10.0
PenaltyQAOA,flow+flow,8,1636000878907.0,0.0,1636000878907.0,1636000878907.0,1636000878907.0,21.67373671531677,13.260136062095428,19.15354561805725,13.438920974731445,28.22216510772705,78.0,0.0,78.0,78.0,78.0,8.0,0.0,8.0,8.0,8.0
PenaltyQAOA,independent_set+knapsack,5,1.69523655015625e+16,0.0,1.69523655015625e+16,1.69523655015625e+16,1.69523655015625e+16,30.363288259506227,20.565115473092177,25.2347993850708,16.121668815612793,40.55951762199402,95.0,0.0,95.0,95.0,95.0,9.0,0.0,9.0,9.0,9.0
PenaltyQAOA,independent_set+quadratic_knapsack,5,231439172265625.0,0.0,231439172265625.0,231439172265625.0,231439172265625.0,333.3334523200989,378.66618072610464,193.09977054595947,92.80132555961609,369.23640632629395,222.0,0.0,222.0,222.0,222.0,8.0,0.0,8.0,8.0,8.0
PenaltyQAOA,independent_set+quadratic_knapsack+knapsack,8,8813043679785155.0,0.0,8813043679785156.0,8813043679785156.0,8813043679785156.0,887.9442492008209,669.8507785808437,830.9366824626923,326.7563433647156,1539.5674092769623,298.0,0.0,298.0,298.0,298.0,14.0,0.0,14.0,14.0,14.0
