instance_id,condition,size,depth,loss,sampling_seed,shots,p_feasible,p_optimal,conditional_objective,conditional_quality,weighted_quality,exact_p_feasible,exact_p_optimal,exact_conditional_objective,exact_conditional_quality,exact_weighted_quality,compile_seconds,optimize_seconds
b_5_overlapping_01,range,5,3,2040.2159806855766,2685823994,10000,0.20489999999999997,0.0571,-4.388482186432406,0.44904018220270053,0.09200833333333333,0.20480944675095974,0.058706337784014934,-4.486723156706101,0.45722692972550844,0.09364439451672134,8.989929972216487,2.4612245708703995
b_5_overlapping_01,range,5,4,1992.603575576452,2999704225,10000,0.1764,0.044,-4.267006802721088,0.43891723356009066,0.077425,0.1697113405049869,0.041975070479826924,-4.255990700755609,0.4379992250629674,0.07433343562558166,11.6977423238568,3.332495742943138
b_5_overlapping_01,range,5,5,2000.8404427016565,3216978624,10000,0.146,0.0355,-3.844520547945205,0.4037100456621004,0.058941666666666656,0.1422675836403909,0.035633126542021346,-4.001547142283187,0.4167955951902656,0.05929650219967762,15.970706211868674,4.282898778561503
b_5_overlapping_01,verma_lewis,5,1,488.9808516279752,2694148865,10000,0.1493,0.0179,-2.52377762893503,0.29364813574458587,0.04384166666666667,0.15058778009748258,0.01866976039769415,-2.5288453072785892,0.29407044227321577,0.04428341509420846,0.002462564967572689,0.8170356908813119
b_5_overlapping_01,verma_lewis,5,2,486.90780122923945,1487577521,10000,0.16090000000000002,0.0205,-2.464263517712865,0.2886886264760721,0.04645,0.15411997701006908,0.021023976148240937,-2.520065921206827,0.2933388267672356,0.04520937323752699,0.004316460806876421,1.5735309356823564
b_5_overlapping_01,verma_lewis,5,3,522.7939551998415,2232902904,10000,0.1507,0.0215,-2.3351028533510285,0.2779252377792524,0.041883333333333335,0.15372116685875314,0.021119996444053844,-2.3315371957337394,0.27762809964447827,0.042677315430127385,0.006503396201878786,2.43669599480927
b_5_overlapping_01,verma_lewis,5,4,539.5402474626567,2215083791,10000,0.1562,0.0503,-4.784891165172854,0.4820742637644045,0.07529999999999998,0.15768702942087962,0.04687948874316671,-4.517489940966022,0.4597908284138352,0.07250304988754304,0.00873253308236599,3.3467823206447065
b_5_overlapping_01,verma_lewis,5,5,524.0848124111816,4005340054,10000,0.1474,0.0302,-3.519674355495251,0.3766395296246043,0.05551666666666667,0.15053655927704856,0.030539148660988846,-3.533741067888025,0.37781175565733544,0.05687448175107626,0.010659203864634037,4.243220743723214
b_5_overlapping_02,feasible,5,1,10457.323123660013,1972732373,10000,0.39999999999999997,0.029,1.0209999999999997,0.5435454545454546,0.21741818181818182,0.4074987993492133,0.030458839024039213,1.0505250661855523,0.5408613576194953,0.2204003538443298,0.03712091315537691,13.043967891484499
b_5_overlapping_02,feasible,5,2,12712.110045240435,2836234622,10000,0.4013,0.0296,1.1318215798654374,0.5334707654667784,0.21408181818181818,0.4029181339730122,0.030045914443117893,1.1312821553550187,0.5335198040586348,0.2149648038889522,0.07511177100241184,27.402113220654428
b_5_overlapping_02,feasible,5,3,13675.281592664107,2251620434,10000,0.4031,0.0301,1.01290002480774,0.5442818159265691,0.2194,0.4043116945767491,0.03216345618157721,0.9607403924966473,0.549023600682123,0.22197666235441757,0.10772963706403971,39.16578559111804
b_5_overlapping_02,feasible,5,4,13601.277972747712,575494099,10000,0.40359999999999996,0.0292,1.0701189296333002,0.5390800973060637,0.21757272727272728,0.4107584861127448,0.030093810295053897,1.0193045117816728,0.5436995898380297,0.22332922042198936,0.14213028084486723,51.939438031520694
b_5_overlapping_02,feasible,5,5,13136.800837918223,649712402,10000,0.41559999999999997,0.0329,0.9879692011549569,0.5465482544404584,0.22714545454545448,0.41404564974834884,0.032069361590861246,1.0047915113751846,0.5450189535113469,0.22566272673177076,0.17705944273620844,64.49283377407119
b_5_overlapping_02,local,5,1,9392.324348214343,3360331408,10000,0.3986,0.0288,1.0137982940291017,0.5442001550882635,0.21691818181818182,0.4045846646405227,0.03094469633295637,1.002805426674829,0.5451995066659246,0.22057935956661154,0.03712371690198779,13.033453441690654
b_5_overlapping_02,local,5,2,9345.039723536402,1535723871,10000,0.4164,0.0279,1.1500960614793467,0.531809448956423,0.22144545454545453,0.41469062551038816,0.024992848570869503,1.1977497489824873,0.5274772955470466,0.21873988963293264,0.07499222969636321,27.452116349246353
b_5_overlapping_02,local,5,3,9359.35753935451,1769219362,10000,0.40509999999999996,0.0329,0.9471735373981734,0.5502569511456206,0.22290909090909086,0.40551340705815253,0.03130706946010908,0.9913317227804194,0.5462425706563255,0.22150868590705017,0.10746635776013136,39.17146478313953
b_5_overlapping_02,local,5,4,9173.353814067326,1379078438,10000,0.4093,0.0323,0.9054483264109455,0.5540501521444595,0.2267727272727273,0.4064008498607994,0.03241197298177949,0.9774011206637033,0.5475089890305724,0.22250811844845172,0.14293776592239738,51.908411480952054
b_5_overlapping_02,local,5,5,9390.599274208691,673725742,10000,0.40060000000000007,0.029,1.0017473789316025,0.5452956928243998,0.2184454545454546,0.40221148700631365,0.031366660370101,0.9990203419133543,0.5455436052806042,0.21942390470669723,0.17560361605137587,64.60836010891944
b_5_overlapping_02,maximum,5,1,2801.234283507457,56059715,10000,0.41259999999999997,0.0321,1.0075133301017936,0.5447715154452916,0.2247727272727273,0.4072142597600216,0.03124550244047075,1.0001374995078176,0.5454420454992893,0.22211177879998514,0.0367417773231864,13.002109749242663
b_5_overlapping_02,maximum,5,2,2695.158648618571,3531591114,10000,0.42700000000000005,0.0266,1.044262295081967,0.5414307004470938,0.23119090909090909,0.41867082296541785,0.027724593405946147,1.0626571156156865,0.5397584440349376,0.22598111196664075,0.0749783399514854,27.412420701701194
b_5_overlapping_02,maximum,5,3,2703.5885091565738,2996225977,10000,0.4092,0.0315,1.0232160312805474,0.5433439971563139,0.22233636363636364,0.4037995527527001,0.03135532680316818,0.9559657748913166,0.5494576568280621,0.22187075608371806,0.10811655130237341,39.17367169819772
