identity,instance_id,condition,rule,delta,selectable,n_x,regime,n_slack,n_total,depth,p_optimal,p_feasible,exact_p_optimal,exact_p_feasible,compile_seconds,optimize_seconds,process_peak_rss_mb
e6ad3d0af559c47f0d4ac5f54701af320225b8468dbaba114cb9cc503cb59c0c,b_5_overlapping_01,feasible,feasible,26.0,True,5,overlapping,5,10,5,0.0436,0.18519999999999998,0.04045368637952102,0.18027642370230357,0.03283957997336984,12.476928693242371,1798.5546875
e96cc5708eaf287015a7b58dc95da5289f1ef601c7443f7e5aaa1bea0da1150c,b_5_overlapping_01,local,local,19.0,True,5,overlapping,5,10,5,0.0409,0.1336,0.04035162892890942,0.13115513658611128,0.03294947277754545,12.438409249298275,1802.15625
73ce5541d4ac435cb4ca11a3e95474278804b0cddae214c953cd791972563b40,b_5_overlapping_01,maximum,maximum,6.0,True,5,overlapping,5,10,5,0.0602,0.35309999999999997,0.06253289810792985,0.35576700700096553,0.03282331861555576,12.301407927181572,1802.15625
712a6a6779c643a5abb2dde4fc8c322f24b8f52c3daf1ee3d25cad7ef126c822,b_5_overlapping_01,range,range,47.0,True,5,overlapping,5,10,5,0.0355,0.146,0.035633126542021346,0.1422675836403909,46.89105588383973,12.54613153450191,1797.4609375
34be1f1d9cb7a0173a11d20ffd5e586826effa6dc5f6a0de78450621840c48c0,b_5_overlapping_01,verma_lewis,verma_lewis,13.0,True,5,overlapping,5,10,5,0.0302,0.1474,0.030539148660988846,0.15053655927704856,0.03267415892332792,12.417265685740858,1801.28125
f5dfd4c3b2575e7c25ab9b59c55d280ca8c804264dcb31281217a6dd8cac171c,b_5_overlapping_02,feasible,feasible,29.0,True,5,overlapping,9,14,5,0.0329,0.41559999999999997,0.032069361590861246,0.41404564974834884,0.5391520448029041,196.04413850884885,2990.5546875
721dca81907bcfa8e0c72d81459bbd725fa43bc67b53db2dcb92bb34f0baf7b1,b_5_overlapping_02,local,local,20.0,True,5,overlapping,9,14,5,0.029,0.40060000000000007,0.031366660370101,0.40221148700631365,0.5381236863322556,196.17380616394803,2991.69140625
3aff044d5e6969f6a857647f438004ea935dd26a966fe38d437b0a20ddb1c5f9,b_5_overlapping_02,maximum,maximum,6.0,True,5,overlapping,9,14,5,0.0312,0.40579999999999994,0.03242423333472957,0.40285429557137,0.5387667766772211,196.60836799722165,2994.12890625
4471b993c06022a4b36f0cd8dd98adb4eca8d8a89c3ae0c1db25401a3a5109b9,b_5_overlapping_02,range,range,38.0,True,5,overlapping,9,14,5,0.0302,0.3913,0.03223224723516572,0.3982805071116962,99.02047640644014,196.74442342389375,2869.4921875
11a3d62c20913dc7971cd4d12ae9c013bbe83b1ba503a654f2d4ccf381f0834d,b_5_overlapping_02,verma_lewis,verma_lewis,14.0,True,5,overlapping,9,14,5,0.0282,0.4074,0.028714480267898905,0.40301001219758587,0.5367641602642834,196.33290216699243,2991.3359375
9e16df364e84e0b620c3faf4c3aac95ad8a284f5a6748493652f9a65a03d729c,b_6_disjoint_01,feasible,feasible,34.0,True,6,disjoint,0,6,5,0.2081,0.8417999999999999,0.20427261017209036,0.8390637764846058,0.0057124244049191475,1.6366305695846677,1000.5625
da6ad14cf5ff6ee20d642d54e6c1629b25f84e09c991c1a0154f883c00ffccf1,b_6_disjoint_01,local,local,18.0,True,6,disjoint,0,6,5,0.2193,0.7513000000000001,0.22822735567168514,0.7506359866442721,0.006043556611984968,1.6547960150055587,1000.5625
8e215d64066f421e99547569d27837f3afae410be00dfc6514dee22d02fdcedc,b_6_disjoint_01,maximum,maximum,6.0,True,6,disjoint,0,6,5,0.1785,0.4592,0.18401106330068093,0.4721035593377174,0.005992397665977478,1.6529699149541557,1000.5625
43175dc9ef9be0f39d08ab55bb50f1dd51d8a90558dac4b00ea284265d0249b3,b_6_disjoint_01,range,range,54.0,True,6,disjoint,0,6,5,0.1801,0.9052000000000001,0.17820109640062354,0.903384390302992,17.504914575256407,1.6226726286113262,1000.5625
cfc844e9df3d73f2b0865fcbeb780d491bddcd4b6bdfab932cbb31dc8e27425a,b_6_disjoint_01,verma_lewis,verma_lewis,14.0,True,6,disjoint,0,6,5,0.2463,0.7037,0.2459392734765691,0.7100241114932931,0.005979984533041716,1.6414740080945194,1000.5625
94edf1d55f174f68d4d5db089d2d442a1cd635e22cc6247175a585ad0d083580,b_6_disjoint_02,feasible,feasible,39.0,True,6,disjoint,3,9,5,0.0277,0.7287,0.029267057685735412,0.7382992737894392,0.016520165838301182,5.817416414618492,1464.65625
